day,no_show_rate
2016-04-29,0.2754353803849679
2016-05-02,0.2901721664275466
2016-05-03,0.2774265526217925
2016-05-04,0.31483457844183566
2016-05-05,0.27090178897407813
2016-05-06,0.2757660167130919
2016-05-09,0.3253773253773254
2016-05-10,0.3284511168070304
2016-05-11,0.26422764227642276
2016-05-12,0.270062805303559
2016-05-13,0.3148006134969325
2016-05-14,0.2903225806451613
2016-05-16,0.331664998331665
2016-05-17,0.30244755244755245
2016-05-18,0.2839506172839506
2016-05-19,0.2851182197496523
2016-05-20,0.3287292817679558
2016-05-24,0.3104294478527607
2016-05-25,0.2759452936444087
2016-05-30,0.2940153096729297
2016-05-31,0.24389392882065597
2016-06-01,0.2526387470207695
2016-06-02,0.26441631504922647
2016-06-03,0.270996640537514
2016-06-06,0.27009437032216077
2016-06-07,0.26227795193312436
2016-06-08,0.2399728076138681
