days_advance,no_show_rate
0,0.21350469978898906
1,0.23821561338289962
2,0.23529411764705882
3,0.23270321361058602
4,0.2660970399755874
5,0.24795640326975477
6,0.26681614349775784
7,0.28730703259005147
8,0.27414330218068533
9,0.3163191948238677
10,0.3161094224924012
11,0.3165919282511211
12,0.31866825208085614
13,0.31342258839684173
14,0.33399866932801064
15,0.3049522154648132
16,0.31616982836495033
17,0.30558276199804113
18,0.34770114942528735
19,0.34372367312552654
20,0.30897367006985493
21,0.34441602728047743
22,0.3357664233576642
23,0.3778135048231511
24,0.40188383045525905
25,0.359781121751026
26,0.315893385982231
27,0.29484173505275496
28,0.3269054178145087
29,0.265625
30,0.3273809523809524
31,0.3515358361774744
32,0.33433734939759036
33,0.3341584158415842
34,0.37279335410176534
35,0.3103448275862069
36,0.3595166163141994
37,0.3417085427135678
38,0.3235294117647059
39,0.40551181102362205
40,0.3538011695906433
41,0.36930455635491605
42,0.2992125984251969
43,0.29936305732484075
44,0.36496350364963503
45,0.36363636363636365
46,0.30275229357798167
47,0.2905982905982906
48,0.3472222222222222
49,0.2692307692307692
50,0.3626373626373626
51,0.25555555555555554
52,0.34375
53,0.3698630136986301
54,0.44954128440366975
55,0.2512315270935961
56,0.37755102040816324
57,0.32727272727272727
58,0.36666666666666664
59,0.4246575342465753
60,0.22962962962962963
61,0.20725388601036268
62,0.265
63,0.37333333333333335
64,0.29896907216494845
65,0.2962962962962963
66,0.30158730158730157
67,0.32857142857142857
68,0.3238095238095238
69,0.3125
70,0.22
71,0.3018867924528302
72,0.35135135135135137
73,0.3333333333333333
74,0.3055555555555556
75,0.3076923076923077
76,0.33962264150943394
77,0.3939393939393939
78,0.391304347826087
79,0.4444444444444444
80,0.4
81,0.0
82,0.125
83,0.2222222222222222
84,0.21621621621621623
85,0.16666666666666666
86,0.3125
87,0.3125
88,0.4117647058823529
89,0.2413793103448276
90,0.21428571428571427
91,0.0
92,0.0
93,0.0
94,0.2
95,0.25
96,0.0
97,0.2
100,0.0
101,0.25
102,0.6
103,0.75
104,0.0
106,0.0
107,0.0
108,0.0
109,0.5
110,0.2
111,0.0
114,0.0
116,0.0
118,0.0
121,0.0
122,0.0
124,0.0
125,1.0
126,0.0
131,1.0
132,0.36363636363636365
138,1.0
141,0.375
145,1.0
150,1.0
154,0.6
161,0.18181818181818182
168,0.125
175,0.375
178,0.2
