age_group,total,no_show_rate
,2136,0.27668539325842695
Adult,14512,0.2914140022050717
Child,14904,0.33205850778314544
Elderly,9381,0.2087197526916107
Senior,15327,0.22326613166307824
Young Adult,15699,0.34225109879610166
