age_group,gender,no_show_rate
,F,0.28421052631578947
,M,0.2694775435380385
Adult,F,0.2871143023481467
Adult,M,0.3019495958155017
Child,F,0.3445091093117409
Child,M,0.318
Elderly,F,0.20982355746304243
Elderly,M,0.2064724919093851
Senior,F,0.22279212906835774
Senior,M,0.224370112945265
Young Adult,F,0.3377679857639183
Young Adult,M,0.35582349923037454
